,episodes_considered,A,B,C,D,E
0,1.0,0.4836754100000001,0.4589003342070427,0.49418866231877906,0.5256224849999999,0.5033474500000003
1,2.0,0.4882619845,0.4501076895704502,0.5088315365459435,0.5604682348999998,0.5179799999999998
2,3.0,0.48414422705,0.451925777123345,0.5384630912003003,0.6107115761132178,0.5397397949999996
3,4.0,0.4756118527995001,0.3994355901053121,0.4924735399784695,0.5912466584229265,0.5311477746994994
4,5.0,0.45438030248044986,0.38210400693385255,0.460611266537117,0.5583040331465441,0.5144098294999996
5,6.0,0.4455141009500002,0.3610415992715526,0.4804709131455104,0.6157853630738972,0.5386363081989998
6,7.0,0.4431144339909501,0.36781435060871187,0.5111742105044901,0.638697498209003,0.5551610023388632
7,8.0,0.4376055325177483,0.3705596919467123,0.49484273734274103,0.6119007985741254,0.5477439622067345
8,9.0,0.44128990079804487,0.36284456877048327,0.5061917903485927,0.6503871123866989,0.5584878726058807
9,10.0,0.44236761828620935,0.3622240627707315,0.5219522839337457,0.6573375321762162,0.562451545605184
10,11.0,0.40929721956540027,0.34121298957460816,0.503334283819603,0.6352574629242745,0.5529761334664234
11,12.0,0.4432672320548715,0.37717816195419634,0.5377860921466386,0.6904524567645233,0.6057688877738471
12,13.0,0.4516726861296184,0.4172425598517118,0.5532018973265711,0.6786090114372735,0.5860790095499777
13,14.0,0.4036541026437401,0.3100850225589627,0.4576354675456236,0.6283646591391389,0.5711167647254896
14,15.0,0.3933474786887281,0.3286872415323358,0.4975439402503635,0.6486336038894313,0.5665768873093474
15,16.0,0.4239558140175583,0.3724897580584885,0.5229295139689978,0.6580288691352005,0.5933811702888246
16,17.0,0.4155652771189943,0.3196103938312064,0.46009044532261884,0.637432141377468,0.5934444662223587
17,18.0,0.38727019969437726,0.32003937575411695,0.49710201847013186,0.6716789271561366,0.5953091469607154
18,19.0,0.4221638227196444,0.356631309885517,0.50680617741086,0.673492400987552,0.5893125586365717
19,20.0,0.3914184287632262,0.304556979619269,0.4536616795492505,0.6305880353842784,0.5972652877926082
20,21.0,0.38819466542222086,0.3139426632431922,0.4481992704000383,0.631291273384631,0.6142158962391171
21,22.0,0.4065505008651599,0.3729156409915352,0.5159756960432074,0.6725111873536869,0.6085207411775552
22,23.0,0.3809260263173382,0.347467739351597,0.5176180608163427,0.6792477123798968,0.6349762841448339
23,24.0,0.39246585307923404,0.34653046331474824,0.5295493388879802,0.6987408860937042,0.627580068597963
24,25.0,0.38867798254429126,0.34187539756986646,0.5019411190935655,0.6524149298492741,0.5951610283871732
25,26.0,0.3970771583466026,0.3701383400546538,0.5410876294411543,0.7011717446470095,0.6278017815844046
26,27.0,0.3915028740190638,0.3500269600423574,0.5094389960039691,0.6853933003805202,0.6213188408447144
27,28.0,0.3638540404282879,0.33093742956122313,0.49172846395007624,0.6516274316374279,0.6116184658398504
28,29.0,0.39566629614488663,0.3477403103204324,0.5000789266839288,0.671064626913667,0.6124190887607606
29,30.0,0.363762048685021,0.3280774021474839,0.49615217650964705,0.6670776652875112,0.6340553101603006
